Name,Analytic Robustness Score,Event Robustness Score,Filter Score,Final Score,Notes,Permalink
Enumerate Credentials from Windows Credential Manager With PowerShell,2,A,N/a,,ScriptBlockText searches are reletivily easy to evade with everyting being within adversary control.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/powershell/powershell_script/posh_ps_enumerate_password_windows_credential_manager.yml 
Suspicious Service DACL Modification Via Set-Service Cmdlet - PS,1,A,N/a,,"This is looking for the services name being changed in order to be more stealthy. However, these names are not unique and are simply what was used in the example used to create the analytic, they can be changed very easily.",https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/powershell/powershell_script/posh_ps_susp_service_dacl_modification_set_service.yml 
Moriya Rootkit File Created,1,K,N/a,,Looking at the target file name of the malware. ,https://github.com/SigmaHQ/sigma/blob/e0a2d526715fc1574f2b2a10d2e4ffb7549d3891/rules-emerging-threats/2021/Malware/Moriya-Rootkit/file_event_win_moriya_rootkit.yml#L1 
Suspicious Chromium Browser Instance Executed with Custom Extensions,1,K,N/a,,Dependent on the parent file name which can be changed easily.,https://github.com/SigmaHQ/sigma/blob/b02e3b698afbaae143ac4fb36236eb0b41122ed7/rules/windows/process_creation/proc_creation_win_browsers_chromium_susp_load_extension.yml 
ISO File Created Within Temp Folders,1,K,N/a,,Both selections in the analytic are dependent on a file path which can be changed to evade the analytic.,https://github.com/SigmaHQ/sigma/blob/8f3a3236ae2dbc1c764760004f7279142d31e552/rules/windows/file/file_event/file_event_win_iso_file_mount.yml 
Legitimate Application Dropped Archive,1,K,N/a,,"Analytic looking for Image name and file extension, both of which are observables that can be easily changed. If the program creating the ZIP file isn't explicitly named in the analytic, it won't fire.",https://github.com/SigmaHQ/sigma/blob/b02e3b698afbaae143ac4fb36236eb0b41122ed7/rules/windows/file/file_event/file_event_win_legitimate_app_dropping_archive.yml 
Vulnerable Driver Load,1,K,N/a,,This is looking for only a list of hashs witch is one of the easiest observabals for an adversary to change.,https://github.com/magicsword-io/LOLDrivers/blob/cb4d65e77f3828c8d07df70522cae638c6aa5f93/detections/sigma/driver_load_win_vuln_drivers.yml 
BloodHound Collection Files,1,K,1K,1K,Looks for file names that are in adversary contol.,https://github.com/SigmaHQ/sigma/blob/3d172914f6c2bd5c2b5ed471bf0657a662d395af/rules/windows/file/file_event/file_event_win_bloodhound_collection.yml 
Suspicious AdFind Execution,1,K,N/a,,Analytic depends on the name of the tool.,https://github.com/SigmaHQ/sigma/blob/30bee7204cc1b98a47635ed8e52f44fdf776c602/rules/windows/process_creation/win_susp_adfind.yml 
Suspicious PFX File Creation,1,K,N/a,,File events is looking at the target file name.,https://github.com/SigmaHQ/sigma/blob/30bee7204cc1b98a47635ed8e52f44fdf776c602/rules/windows/file_event/sysmon_susp_pfx_file_creation.yml 
New RUN Key Pointing to Suspicious Folder,1,K,N/a,,"Analytic depends on the file name and path, both easily changed.",https://github.com/SigmaHQ/sigma/blob/30bee7204cc1b98a47635ed8e52f44fdf776c602/rules/windows/registry_event/sysmon_susp_run_key_img_folder.yml 
Mimikatz Use,2,U,,,OR search that looks for values in the Keywords field. Most values are commandline flags for respective tools module which are in the adversary's control.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/builtin/win_alert_mimikatz_keywords.yml 
Data Compressed - PowerShell,2,A,N/a,,ScriptBlockText searches are reletivily easy to evade with everyting being within adversary control but reqires a change of the script.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_data_compressed.yml 
Dump Credentials from Windows Credential Manager With PowerShell,2,A,N/a,,ScriptBlockText searches are reletivily easy to evade with everyting being within adversary control but reqires a change of the script.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_dump_password_windows_credential_manager.yml 
Invoke-Obfuscation COMPRESS OBFUSCATION - PowerShell,2,A,N/a,,ScriptBlockText searches are reletivily easy to evade with everyting being within adversary control but reqires a change of the script.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_invoke_obfuscation_via_compress.yml 
Clear PowerShell History - PowerShell,2,A,N/a,,ScriptBlockText searches are reletivily easy to evade with everyting being within adversary control but reqires a change of the script.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_clear_powershell_history.yml 
Suspicious PowerShell Download - Powershell Script,2,A,N/a,,ScriptBlockText searches are reletivily easy to evade with everyting being within adversary control but reqires a change of the script.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_susp_download.yml 
Suspicious Access To Browser Credential Files,3,K,,,This relies on the configurations of the browser that is already installed on the machine. The target of the technique is to get access to that file specificly and the adversary can not change it or bring their own.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/file/file_access/file_access_win_browser_credential_stealing.yml 
Startup Folder File Write,3,K,,,This relies on the Windows default file location for programs to run on startup.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/file/file_event/file_event_win_startup_folder_file_write.yml 
Service Registry Permissions Weakness Check,2,A,N/a,,ScriptBlockText searches are reletivily easy to evade with everyting being within adversary control but reqires a change of the script. This can also be done outside of PowerShell completle evading this analytic.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_get_acl_service.yml 
Powershell File and Directory Discovery,2,A,N/a,,ScriptBlockText searches are reletivily easy to evade with everyting being within adversary control but reqires a change of the script.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_file_and_directory_discovery.yml 
WerFault LSASS Process Memory Dump,3,K,N/a,,"The filenames are default for the WerFault program, while lsass is also default for the proper configuration (outside of adversary control)",https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/file/file_event/file_event_win_lsass_werfault_dump.yml 
WMI Persistence - Script Event Consumer File Write,3,K,N/a,,Analytic is looking for behind-the-scenes OS behavior of WMI script handling which is outside adversary control.,https://github.com/SigmaHQ/sigma/blob/30bee7204cc1b98a47635ed8e52f44fdf776c602/rules/windows/file_event/sysmon_wmi_persistence_script_event_consumer_write.yml 
Persistence,3,K,?,,This is based on native tools and their args.,https://github.com/elastic/detection-rules/blob/411ec36ff0171d6eaa3b9cc53478585b856253dd/rules/windows/persistence_via_update_orchestrator_service_hijack.toml 
Direct Syscall of NtOpenProcess,2,U,Maybe,,This is detecting off CallTrace but all of the values that it is watching are file names of preinstalled programs.,https://github.com/SigmaHQ/sigma/blob/cda0fbff62ce7f818198701452f1e0820f257b62/rules/windows/process_access/proc_access_win_direct_syscall_ntopenprocess.yml 
MSI install from the web,3,A,N/a,,'://' is part of how the MsiInstaller gets its data and is outside of control.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/builtin/application/msiinstaller/win_msi_install_from_web.yml 
Possible Shadow Credentials Added,4,K,N/a,,The msDS-KeyCredentialLink value is core to an implementation of the technique and is outside the adversary control. There are other implementations so it doesn't quite rise to a level 5.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/builtin/security/win_security_susp_possible_shadow_credentials_added.yml 
AADInternals PowerShell Cmdlets Execution - PsScript,2,A,N/a,,ScriptBlockText searches are reletivily easy to evade with everyting being within adversary control but reqires a change of the script.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_aadinternals_cmdlets_execution.yml 
Suspicious Remote Thread Source,3,K,,,This is a list of native tools that would be unusual to create a remote thread. These tools would already be on the machine and have known behavior.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/create_remote_thread/create_remote_thread_win_uncommon_source_image.yml 
Potential WinAPI Calls Via PowerShell Scripts,2,A,,,ScriptBlockText searches are reletivily easy to evade with everyting being within adversary control but reqires a change of the script.,https://github.com/SigmaHQ/sigma/blob/62d4fd26b05f4d81973e7c8e80d7c1a0c6a29d0e/rules/windows/powershell/powershell_script/posh_ps_accessing_win_api.yml 
Backup Catalog Deleted,4,A,N/a,,"This backup logging will detect a large portion of the implimentations of the technique but not all, preventing it from reaching level 5.",https://github.com/SigmaHQ/sigma/blob/c04bef2fbbe8beff6c7620d5d7ea6872dbe7acba/rules/windows/builtin/application/microsoft_windows_backup/win_susp_backup_delete.yml 
Detect Credential Dumping through LSASS access,4,K,N/a,,This analytic appears to cover all known implementations of the subtechnique according to SpecterOps capability abstraction of Dumping LSASS. Process Access uses kernel-level APIs.,https://github.com/splunk/security_content/blob/f76250c9eda0a12572b969cf478f9c19214be40c/detections/endpoint/detect_credential_dumping_through_lsass_access.yml 
CobaltStrike Named Pipe Patterns,1,K,,,This analytic is looking for pipenames which can be changed like environment variables.,https://github.com/SigmaHQ/sigma/blob/master/rules/windows/pipe_created/pipe_created_susp_cobaltstrike_pipe_patterns.yml 
,,,,,,
Network Analytics Sigma Directory,,,,,,
New RDP Connection Initiated From Domain Controller,1,K,,,"The anayltic is meant to detect initiated RDP connections from Domain Controller, but it depends on how domain_controller hostnames are stored and the difficulty of the attacker to change them ",https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules-placeholder/windows/network_connection/net_connection_win_susp_rdp_from_domain_controller.yml
Dfsvc.EXE Network Connection To Non-Local Ips,1,K,,,Looks for images that end with 'dfsvc.exe' - ephemeral,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules-threat-hunting/windows/network_connection/net_connection_win_dfsvc_non_local_ip.yml
Dfsvc.EXE Initiated Network Connection Over Uncommon Port,1,K,,,Looks for images that end with 'dfsvc.exe' - ephemeral,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules-threat-hunting/windows/network_connection/net_connection_win_dfsvc_uncommon_ports.yml
Dllhost.EXE Initiated Network Connection To Non-Local IP Address,1,K,,,Looks for images that end with '\dllhost.exe' - ephemeral,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules-threat-hunting/windows/network_connection/net_connection_win_dllhost_non_local_ip.yml
HH.EXE Initiated HTTP Network Connection,1,K,,,Looks for images that end with '\hh.exe' - ephemeral,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules-threat-hunting/windows/network_connection/net_connection_win_hh_http_connection.yml
Msiexec.EXE Initiated Network Connection Over HTTP,1,K,,,Looks for images that end with '\msiexec.exe' - ephemeral,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules-threat-hunting/windows/network_connection/net_connection_win_msiexec_http.yml
Network Connection Initiated By PowerShell Process,1,K,,,Looks for images that end with '\powershell.exe' '\pwsh.exe' - ephemeral,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules-threat-hunting/windows/network_connection/net_connection_win_powershell_network_connection.yml
Network Connection Initiated From Users\Public Folder,1,U,,,Looks for images that contain ':Users\Public\' - ephemeral as attackers can drop their malware into another directory,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules-threat-hunting/windows/network_connection/net_connection_win_susp_initaited_public_folder.yml
PsExec Default Named Pipe,1,K,,,"PsExec is an adversary brought tool, but the analytic looks for the default Pipe Name - '\PSEXESVC' - which can be changed by the attacker",https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules-threat-hunting/windows/pipe_created/pipe_created_sysinternals_psexec_default_pipe.yml
Download from Suspicious Dyndns Hosts,1,H,,,"Looks for specific c-uri-extensions and 'cs-host|endswith' a set of predefined proxy hostnames. It's definitely a 1, though I'm unclear on what information can be obfuscated ",https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_download_susp_dyndns.yml
Download From Suspicious TLD - Blacklist,1,H,,,Looks for specific c-uri-extensions and 'cs-host|endswith' a set of specific domain extensions,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_download_susp_tlds_blacklist.yml
Download From Suspicious TLD - Whitelist,1,H,,,Looks for specific c-uri-extensions,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_download_susp_tlds_whitelist.yml
Windows WebDAV User Agent,3,H,,,WebDAV is a pre-existing tool. Would be very noisy. https://blog.didierstevens.com/2017/11/13/webdav-traffic-to-malicious-sites/,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_downloadcradle_webdav.yml
F5 BIG-IP iControl Rest API Command Execution - Proxy,3,H,,,"Detects POST requests to the F5 IG-IP iControl Rest API ""bash"" endpoint. https://cdn.f5.com/websites/devcentral.f5.com/downloads/icontrol-rest-api-user-guide-14-1-0.pdf",https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_f5_tm_utility_bash_api_request.yml
HackTool - BabyShark Agent Default URL Pattern,2,H,,,Detects user-brought BabyShark C2 tool. Look into whether attackers can change the '/momyshark' path to something else.  https://nasbench.medium.com/understanding-detecting-c2-frameworks-babyshark-641be4595845,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_hktl_baby_shark_default_agent_url.yml
HackTool - Empire UserAgent URI Combo,1,H,,,"Only looks for requests of an ""exact user agent to server scripts of the defined names', both of which are ephemeral and can be easily changed",https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_hktl_empire_ua_uri_patterns.yml
PUA - Advanced IP/Port Scanner Update Check,2,H,,,"Detects calls to the Advanced IP/Port Scanner utilities, which are user-brought",https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_pua_advanced_ip_scanner_update_check.yml
PwnDrp Access,1,H,,,"Observes the URI, but PwnDrp allows users to customize and change this away from the default of '/pwndrop'",https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_pwndrop.yml
Raw Paste Service Access,1,H,,,"Observes for a specific set of values contained in the URI, but these can be easily changed, as shown by the wide assortment already specified",https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_raw_paste_service_access.yml
Telegram API Access,2,H,,,"Detects calls to the Telegram API, a user-brought tool with an address that the adversary cannot change.",https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_telegram_api.yml
Suspicious Base64 Encoded User-Agent,1,H,,,Detects specific suspicious user-agent strings already known to be used in malware,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_ua_base64_encoded.yml
Bitsadmin to Uncommon IP Server Address,3,H,,,"Bitsadmin is a pre-existing tool on Windows, since Windows 7. Detects on all connections between Bitsadmin and an IP address. https://isc.sans.edu/diary/Microsoft+BITS+Used+to+Download+Payloads/21027",https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_ua_bitsadmin_susp_ip.yml
Bitsadmin to Uncommon TLD,1,H,,,"Although Bitsadmin is a pre-existing tool on Windows, this analytic only looks for connections between Bitsadmin and a narrow set of unusual TLDs",https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_ua_bitsadmin_susp_tld.yml
Crypto Miner User Agent,1,H,,,The UserAgent is easily changed on the client side,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_ua_cryptominer.yml
Exploit Framework User Agent,2,H,,,Detects on suspicious user agent strings used by adversary brought tools like Metasploit in proxy logs,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_ua_frameworks.yml
Hack Tool User Agent,2,H,,,Detects on suspicious user agent strings used by adversary brought tools in proxy logs,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_ua_hacktool.yml
Malware User Agent,2,H,,,Detects on suspicious user agent strings used by known malware (aka adversary brought tools) in proxy logs,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_ua_malware.yml
Windows PowerShell User Agent,3,H,,,"Detects on web access from Windows PowerShell, a pre-existing tool",https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_ua_powershell.yml
Rclone Activity via Proxy,2,H,,,"Detects on the use of rclone, a adversary-brought tool, through observing the useragent",https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_ua_rclone.yml
Suspicious User Agent,2,H,,,Detects on suspicious user agent strings used by known malware (aka adversary brought tools) in proxy logs,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_ua_susp.yml
Suspicious External WebDAV Execution,1,H,,,"Observes the end of the URI for specfiic file types, which are ephemeral",https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_webdav_external_execution.yml
,,,,,,
Further Research Required ,Further Research Required ,Further Research Required ,Further Research Required,Further Research Required,Further Research Required ,Further Research Required 
Diagnostic Library Sdiageng.DLL Loaded By Msdt.EXE,1,,,,An adversary could evade this analytic by renaming both observables used.,https://github.com/SigmaHQ/sigma/blob/master/rules/windows/image_load/image_load_dll_sdiageng_load_by_msdt.yml
Windows Defender Threat Detected,4,,,,These eventIDs will require further research to score,https://github.com/SigmaHQ/sigma/blob/30bee7204cc1b98a47635ed8e52f44fdf776c602/rules/windows/other/win_defender_threat.yml 
WMI Persistence,4,,,,Changes to WMI subscriptions are well covered by a number of EventIDs and this takes advantage of that leading to a very difficult to eveade detection.,https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/wmi/win_wmi_persistence.yml
Windows Defender Malware Detection History Deletion,4,,,,"Because there is an event ID specificly for the behavior, this is considered a very robust technique.",https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/windefend/win_defender_history_delete.yml
Eventlog Cleared,4,,,,The eventID 104 is for 'The %3 log file was cleared' And when the provider name is that of the event log it would have been cleared. This looks to be dependent on the OS file locations. ,https://github.com/SigmaHQ/sigma/blob/master/rules/windows/builtin/system/win_system_eventlog_cleared.yml
Suspicious Encoded Scripts in a WMI Consumer,2,,,,This is looking for artifacts in a script within the adversary's control.,https://github.com/SigmaHQ/sigma/blob/master/rules/windows/wmi_event/sysmon_wmi_susp_encoded_scripts.yml
Remote Registry Management Using Reg Utility,3,,,,,https://github.com/SigmaHQ/sigma/blob/c04bef2fbbe8beff6c7620d5d7ea6872dbe7acba/rules-placeholder/windows/builtin/security/win_security_remote_registry_management_via_reg.yml
Flash Player Update from Suspicious Location,1H or 2H?,,,,"Detects for fake flashplayer updates, so detects for URI's that mimic Adobe's normal '/flash_install.php' or '/install_flash_player.exe'. Though these URI's are ephemeral, changing them would counteract the whole point of masquerading as valid updates.",https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_susp_flash_download_loc.yml
APT User Agent,1H?,,,,,https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_ua_apt.yml
HTTP Request With Empty User Agent,?H,,,,"Detects a empty user agent string in the proxy log. This is in the Header, but I am unsure what to score it. I don't feel like an empty string should be considered ephemeral, as changing it would negate its purpose.",https://github.com/SigmaHQ/sigma/blob/6fd57da13139643c6fe3e4a23276ca6ae9a6eec7/rules/web/proxy_generic/proxy_ua_empty.yml
