Log Source ,Fidelity ,Noise ,Timeliness ,Coverage ,Context ,Robustness ,Total 
Windows Security: EID 7045: Service Installation ,3 ,4 ,5 ,1.0 ,4.2 ,4.5 ,21.7 
Windows Security: EID 4657: Registry Value Modified ,3 ,3 ,5 ,1.5 ,4.5 ,4.6 ,21.6 
Zeek/Bro: files.log ,4 ,3 ,5 ,1.5 ,4.0 ,3.9 ,21.4 
Windows Defender: Firewall Logs ,2 ,3 ,5 ,4.8 ,3.2 ,3.3 ,21.3 
macOS: ESF Auth Events ,4 ,3 ,5 ,2.0 ,3.6 ,3.6 ,21.2 
Windows Security: EID 5156: Firewall Connection ,3 ,1 ,5 ,4.8 ,3.4 ,3.5 ,20.7 
Linux: iptables logs ,2 ,3 ,5 ,4.5 ,3.0 ,3.2 ,20.7 
macOS: pf logs ,2 ,3 ,5 ,4.5 ,3.0 ,3.2 ,20.7 
AWS: CloudTrail (VPC Flow Logs) ,3 ,2 ,4 ,4.5 ,3.5 ,3.6 ,20.6 
Azure: Network Watcher ,3 ,2 ,4 ,4.5 ,3.5 ,3.6 ,20.6 
GCP: VPC Flow Logs ,3 ,2 ,4 ,4.5 ,3.5 ,3.6 ,20.6 
"Linux: Auditd (user_auth, user_avc) ",3 ,3 ,5 ,2.0 ,3.5 ,3.6 ,20.1 
Windows Security: EID 4624: Successful Logon ,3 ,2 ,5 ,2.0 ,3.4 ,3.5 ,19.9 
DNS Query Logs (Server) ,3 ,2 ,4 ,3.5 ,3.6 ,3.7 ,19.8 
Firewall Logs ,2 ,3 ,4 ,4.5 ,3.0 ,3.2 ,19.7 
Sysmon: EID 7: Image Load ,3 ,2 ,5 ,2.0 ,3.5 ,4.0 ,19.5 
EDR: Module Loads ,3 ,2 ,5 ,2.0 ,3.5 ,4.0 ,19.5 
Windows Security: EID 5157: Firewall Connection Blocked ,2 ,2 ,5 ,4.5 ,2.8 ,3.0 ,19.3 
M365: Unified Audit Log (SharePoint/OneDrive) ,3 ,2 ,4 ,2.2 ,4.1 ,4.0 ,19.3 
Sysmon: EID 11: File Create ,3 ,2 ,5 ,1.5 ,3.5 ,3.8 ,18.8 
EDR: File Creation ,3 ,2 ,5 ,1.5 ,3.5 ,3.8 ,18.8 
AWS: S3 Access Logs ,3 ,2 ,4 ,2.0 ,3.8 ,3.9 ,18.7 
Azure: Storage Analytics Logs ,3 ,2 ,4 ,2.0 ,3.8 ,3.9 ,18.7 
GCP: Cloud Storage Logs ,3 ,2 ,4 ,2.0 ,3.8 ,3.9 ,18.7 
Sysmon: EID 2: File Creation Time Changed ,3 ,3 ,5 ,1.0 ,3.0 ,3.5 ,18.5 
Microsoft 365: Mailbox Audit Logs ,3 ,3 ,4 ,1.2 ,3.8 ,3.5 ,18.5 
Sysmon: EID 23: FileDelete ,3 ,3 ,5 ,1.0 ,3.2 ,3.0 ,18.2 
Sysmon: EID 26: FileDelete ,3 ,3 ,5 ,1.0 ,3.2 ,3.0 ,18.2 
NetFlow/IPFIX Telemetry ,2 ,2 ,4 ,4.5 ,2.5 ,2.8 ,18.0 
Windows Security: EID 4663: Object Access ,3 ,1 ,5 ,1.5 ,3.2 ,3.5 ,17.2 
VPN Logs ,2 ,3 ,4 ,1.5 ,3.0 ,3.1 ,16.6 
DHCP Logs ,2 ,2 ,4 ,1.0 ,2.5 ,2.8 ,14.3 
